                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 6.2054,                0.54696,                0.79754,                  3.951,               0.003331,               0.003331,               0.003331
                      2,                 2.3521,                0.73866,                0.95142,                 3.7101,              0.0065177,              0.0065177,              0.0065177
                      3,                 1.6458,                 0.7545,                0.96941,                 3.6843,              0.0095577,              0.0095577,              0.0095577
                      4,                 1.5174,                0.78724,                0.97279,                 3.6451,                0.00934,                0.00934,                0.00934
                      5,                  1.326,                0.78985,                0.97479,                 3.6447,                0.00912,                0.00912,                0.00912
                      6,                 1.2079,                0.78171,                0.97048,                 3.6421,                 0.0089,                 0.0089,                 0.0089
                      7,                 1.1424,                0.79785,                0.97018,                 3.6289,                0.00868,                0.00868,                0.00868
                      8,                 1.0601,                0.78616,                0.97171,                 3.6393,                0.00846,                0.00846,                0.00846
                      9,                 1.0096,                0.81076,                0.98032,                 3.6152,                0.00824,                0.00824,                0.00824
                     10,                0.90972,                0.80231,                0.98032,                 3.6204,                0.00802,                0.00802,                0.00802
                     11,                0.88062,                 0.8083,                0.97694,                 3.6172,                 0.0078,                 0.0078,                 0.0078
                     12,                0.87122,                0.81015,                0.97879,                 3.6163,                0.00758,                0.00758,                0.00758
                     13,                0.81431,                0.81829,                0.98109,                 3.6064,                0.00736,                0.00736,                0.00736
                     14,                0.81216,                 0.8146,                0.98048,                 3.6091,                0.00714,                0.00714,                0.00714
                     15,                0.75427,                0.82075,                0.98094,                 3.6025,                0.00692,                0.00692,                0.00692
                     16,                 0.7167,                0.81522,                0.98094,                 3.6069,                 0.0067,                 0.0067,                 0.0067
                     17,                0.71184,                0.82352,                0.98048,                 3.5977,                0.00648,                0.00648,                0.00648
                     18,                0.67235,                0.82521,                0.98155,                 3.5925,                0.00626,                0.00626,                0.00626
                     19,                0.66006,                0.82752,                0.98294,                  3.592,                0.00604,                0.00604,                0.00604
                     20,                0.62334,                0.82813,                0.98294,                 3.5905,                0.00582,                0.00582,                0.00582
                     21,                0.60149,                 0.8249,                0.98002,                  3.595,                 0.0056,                 0.0056,                 0.0056
                     22,                0.58859,                0.82829,                0.97986,                  3.589,                0.00538,                0.00538,                0.00538
                     23,                0.57078,                0.82936,                0.98078,                 3.5895,                0.00516,                0.00516,                0.00516
                     24,                0.57356,                0.83028,                0.98063,                 3.5873,                0.00494,                0.00494,                0.00494
                     25,                0.53454,                 0.8352,                0.98263,                  3.582,                0.00472,                0.00472,                0.00472
                     26,                0.51176,                0.83351,                0.98248,                 3.5842,                 0.0045,                 0.0045,                 0.0045
                     27,                0.50906,                0.83167,                 0.9794,                 3.5832,                0.00428,                0.00428,                0.00428
                     28,                0.48102,                 0.8372,                0.97925,                 3.5809,                0.00406,                0.00406,                0.00406
                     29,                0.44888,                0.83689,                0.98186,                 3.5792,                0.00384,                0.00384,                0.00384
                     30,                0.43976,                0.83259,                 0.9814,                 3.5823,                0.00362,                0.00362,                0.00362
                     31,                0.41823,                0.83628,                0.98232,                 3.5796,                 0.0034,                 0.0034,                 0.0034
                     32,                0.41116,                0.83843,                0.98217,                 3.5779,                0.00318,                0.00318,                0.00318
                     33,                0.40517,                0.83782,                0.98186,                 3.5775,                0.00296,                0.00296,                0.00296
                     34,                0.38174,                0.83812,                0.98186,                 3.5761,                0.00274,                0.00274,                0.00274
                     35,                0.37384,                0.83828,                0.98248,                 3.5757,                0.00252,                0.00252,                0.00252
                     36,                0.34809,                0.83966,                0.98324,                 3.5751,                 0.0023,                 0.0023,                 0.0023
                     37,                0.33173,                0.83859,                 0.9834,                 3.5757,                0.00208,                0.00208,                0.00208
                     38,                0.33108,                0.83874,                0.98324,                  3.576,                0.00186,                0.00186,                0.00186
                     39,                0.32259,                0.83689,                0.98263,                  3.576,                0.00164,                0.00164,                0.00164
                     40,                0.30473,                0.83659,                0.98186,                 3.5756,                0.00142,                0.00142,                0.00142
                     41,                0.29602,                0.83628,                0.98201,                 3.5751,                 0.0012,                 0.0012,                 0.0012
                     42,                0.29225,                0.83689,                0.98201,                  3.575,                0.00098,                0.00098,                0.00098
                     43,                0.26706,                0.83613,                0.98186,                  3.575,                0.00076,                0.00076,                0.00076
                     44,                0.27168,                0.83643,                0.98201,                 3.5749,                0.00054,                0.00054,                0.00054
                     45,                0.24896,                0.83659,                0.98171,                  3.575,                0.00032,                0.00032,                0.00032
